INFO:root:Shortcut already exists.
DEBUG:filelock:Attempting to acquire lock 2717035035584 on app.lock
DEBUG:filelock:Lock 2717035035584 acquired on app.lock
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): smapi.mezzex.com:443
DEBUG:urllib3.connectionpool:https://smapi.mezzex.com:443 "POST /api/AccountApi/login HTTP/11" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): smapi.mezzex.com:443
DEBUG:urllib3.connectionpool:https://smapi.mezzex.com:443 "GET /api/Data/getStaffInTime?userId=3 HTTP/11" 404 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): smapi.mezzex.com:443
DEBUG:urllib3.connectionpool:https://smapi.mezzex.com:443 "GET /api/Data/getTasks HTTP/11" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): smapi.mezzex.com:443
DEBUG:urllib3.connectionpool:https://smapi.mezzex.com:443 "GET /api/Data/getTaskTimers?userId=3 HTTP/11" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): smapi.mezzex.com:443
DEBUG:urllib3.connectionpool:https://smapi.mezzex.com:443 "GET /api/Data/getUserCompletedTasks?userId=3 HTTP/11" 200 None
DEBUG:schedule:Running job Job(interval=5, unit=minutes, do=take_screenshot, args=(), kwargs={})
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): api.cloudinary.com:443
DEBUG:urllib3.connectionpool:https://api.cloudinary.com:443 "POST /v1_1/du0vb79mg/image/upload HTTP/11" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): smapi.mezzex.com:443
DEBUG:urllib3.connectionpool:https://smapi.mezzex.com:443 "POST /api/Data/saveScreenCaptureData HTTP/11" 404 None
DEBUG:schedule:Running job Job(interval=5, unit=minutes, do=take_screenshot, args=(), kwargs={})
DEBUG:urllib3.connectionpool:https://api.cloudinary.com:443 "POST /v1_1/du0vb79mg/image/upload HTTP/11" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): smapi.mezzex.com:443
DEBUG:urllib3.connectionpool:https://smapi.mezzex.com:443 "POST /api/Data/saveScreenCaptureData HTTP/11" 404 None
